Year,Field,Name,Work
,,,
2021,physics,Syukuro Manabe,"for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming"
,,,
2021,physics,Klaus Hasselmann,"for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming"
,,,
2021,physics,Giorgio Parisi,for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales
,,,
2021,chemistry,Benjamin List,for the development of asymmetric organocatalysis
,,,
2021,chemistry,David MacMillan,for the development of asymmetric organocatalysis
,,,
2021,medicine,David Julius,for their discoveries of receptors for temperature and touch
,,,
2021,medicine,Ardem Patapoutian,for their discoveries of receptors for temperature and touch
,,,
2021,literature,Abdulrazak Gurnah,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents
,,,
2021,peace,Maria Ressa,"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace"
,,,
2021,peace,Dmitry Muratov,"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace"
,,,
ttps,"economic-sciences/2021/card/facts/"">David Card</a",David Card,for his empirical contributions to labour economics
,,,
ttps,"economic-sciences/2021/angrist/facts/"">Joshua D. Angrist</a",Joshua D. Angrist,for their methodological contributions to the analysis of causal relationships
,,,
ttps,"economic-sciences/2021/imbens/facts/"">Guido W. Imbens</a",Guido W. Imbens,for their methodological contributions to the analysis of causal relationships
,,,
2020,physics,Roger Penrose,for the discovery that black hole formation is a robust prediction of the general theory of relativity
,,,
2020,physics,Reinhard Genzel,for the discovery of a supermassive compact object at the centre of our galax
,,,
2020,physics,Andrea Ghez,for the discovery of a supermassive compact object at the centre of our galax
,,,
2020,chemistry,Emmanuelle Charpentier,for the development of a method for genome editing
,,,
2020,chemistry,Jennifer A. Doudna,for the development of a method for genome editing
,,,
2020,medicine,Harvey J. Alter,for the discovery of Hepatitis C virus”
,,,
2020,medicine,Michael Houghton,for the discovery of Hepatitis C virus”
,,,
2020,medicine,Charles M. Rice,for the discovery of Hepatitis C virus”
,,,
2020,literature,Louise Glück,for her unmistakable poetic voice that with austere beauty makes individual existence universal”
,,,
2020,peace,World Food Programme (WFP),"for its efforts to combat hunger, for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict"
,,,
2020,economics,Paul R. Milgrom,for improvements to auction theory and inventions of new auction formats
,,,
2020,economics,Robert B. Wilson,for improvements to auction theory and inventions of new auction formats
,,,
2019,physics,James Peebles,for theoretical discoveries in physical cosmology
,,,
2019,physics,Michel Mayor,for the discovery of an exoplanet orbiting a solar-type star
,,,
2019,physics,Didier Queloz,for the discovery of an exoplanet orbiting a solar-type star
,,,
2019,chemistry,John B. Goodenough,for the development of lithium-ion batteries
,,,
2019,chemistry,M. Stanley Whittingham,for the development of lithium-ion batteries
,,,
2019,chemistry,Akira Yoshino,for the development of lithium-ion batteries
,,,
2019,medicine,William G. Kaelin Jr,for their discoveries of how cells sense and adapt to oxygen availability
,,,
2019,medicine,Sir Peter J. Ratcliffe,for their discoveries of how cells sense and adapt to oxygen availability
,,,
2019,medicine,Gregg L. Semenza,for their discoveries of how cells sense and adapt to oxygen availability
,,,
2019,literature,Peter Handke,for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience
,,,
2019,peace,Abiy Ahmed Ali,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea"
,,,
2019,economics,Abhijit Banerjee,for their experimental approach to alleviating global poverty
,,,
2019,economics,Esther Duflo,for their experimental approach to alleviating global poverty
,,,
2019,economics,Michael Kremer,for their experimental approach to alleviating global poverty
,,,
2018,physics,Arthur Ashkin,for the optical tweezers and their application to biological systems
,,,
2018,physics,Gérard Mourou,"for their method of generating high-intensity, ultra-short optical pulses"
,,,
2018,physics,Donna Strickland,"for their method of generating high-intensity, ultra-short optical pulses"
,,,
2018,chemistry,Frances H. Arnold,for the directed evolution of enzymes
,,,
2018,chemistry,George P. Smith,for the phage display of peptides and antibodies
,,,
2018,chemistry,Sir Gregory P. Winter,for the phage display of peptides and antibodies
,,,
2018,medicine,James P. Allison,for their discovery of cancer therapy by inhibition of negative immune regulation
,,,
2018,medicine,Tasuku Honjo,for their discovery of cancer therapy by inhibition of negative immune regulation
,,,
2018,literature,Olga Tokarczuk,for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life
,,,
2018,peace,Denis Mukwege,for their efforts to end the use of sexual violence as a weapon of war and armed conflict
,,,
2018,peace,Nadia Murad,for their efforts to end the use of sexual violence as a weapon of war and armed conflict
,,,
2018,economics,William D. Nordhaus,for integrating climate change into long-run macroeconomic analysis
,,,
2018,economics,Paul M. Romer,for integrating technological innovations into long-run macroeconomic analysis
,,,
2017,physics,Rainer Weiss,for decisive contributions to the LIGO detector and the observation of gravitational waves
,,,
